tgt-1_hyp_disc_earlier	tgt-1_time_per_estimate_score	tgt-1_tgt_tokens	tgt-1_alt_pC_low	tgt-1_time_create_hyp	tgt-1_best_trans_total	tgt-1_words_inserted	tgt-1_alt_pC_avg_avg	tgt-1_alt_c_min_minus_std_all	tgt-1_src_tgt_diff_max	tgt-1_best_trans_val_12	tgt-1_best_trans_val_13	tgt-1_best_trans_val_10	tgt-1_best_trans_val_11	tgt-1_best_trans_val_14	tgt-1_tgt_avg_phrase_len	tgt-1_alt_c_std_avg	tgt-1_unk_pos_var	tgt-1_alt_c_high_avg	tgt-1_c_var	tgt-1_alt_count_avg	tgt-1_unk_per_tokens	tgt-1_src_tgt_diff_min	tgt-1_alt_pC_high_avg	tgt-1_total_transopt	tgt-1_time_translation	tgt-1_total_hypotheses	tgt-1_unk_pos_last	tgt-1_pC_min	tgt-1_c_high	tgt-1_c_high_avg	tgt-1_hyp_recombined	tgt-1_src_phrase_len_var	tgt-1_hyp_discarded	tgt-1_hyp_pruned	tgt-1_src_tgt_diff_avg	tgt-1_pC_max	tgt-1_unk_pos_std	tgt-1_c_low	tgt-1_pC_high	tgt-1_time_manage_stacks	tgt-1_src_phrase_len_std	tgt-1_src_phrase_len_avg	tgt-1_pC_high_avg	tgt-1_best_trans_val_1	tgt-1_best_trans_val_2	tgt-1_best_trans_val_3	tgt-1_best_trans_val_4	tgt-1_best_trans_val_5	tgt-1_best_trans_val_8	tgt-1_best_trans_val_9	tgt-1_time_search	tgt-1_time_other_hyp_score	tgt-1_pC_low_avg	tgt-1_alt_pC_std_avg	tgt-1_alt_c_high	tgt-1_unk_pos_first	tgt-1_c_max_pos	tgt-1_total_source_words	tgt-1_words_deleted	tgt-1_pC_max_pos	tgt-1_alt_pC_var_avg	tgt-1_alt_c_avg_avg	tgt-1_c_low_avg	tgt-1_time_collect_opt	tgt-1_pC_std	tgt-1_c_min_pos	tgt-1_time_calculate_lm	tgt-1_c_max	tgt-1_time_per_create_hyp	tgt-1_unk_pos_avg	tgt-1_biRper	tgt-1_pC_avg	tgt-1_alt_pC_min_minus_std_all	tgt-1_c_min	tgt-1_time_per_manage_stacks	tgt-1_time_per_calculate_lm	tgt-1_alt_pC_low_avg	tgt-1_pC_low	tgt-1_c_avg	tgt-1_pC_min_pos	tgt-1_total_transopt_pruned	tgt-1_best_trans_val_0	tgt-1_time_per_other	tgt-1_alt_c_low	tgt-1_time_other	tgt-1_src_tgt_diff_std	tgt-1_unk	tgt-1_src_phrase_pos_max	tgt-1_alt_c_low_avg	tgt-1_best_trans_val_6	tgt-1_time_per_collect_opt	tgt-1_alt_c_var_avg	tgt-1_time_estimate_score	tgt-1_src_phrase_pos_min	tgt-1_hyp_not_built	tgt-1_pC_var	tgt-1_best_trans_val_7	tgt-1_c_std	tgt-1_src_phrase_len_max	tgt-1_alt_pC_high	tgt-1_src_phrase_len_min	tgt-1_time_per_other_hyp_score	tgt-1_phrases
c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c
																																																																							c																																
0	0.0	30	166	0.000	-29.537	0	-1.33628243757	-4.97707157464	1	-22.002	-41.003	-27.633	-51.019	12.999	2.30769230769	0.681367870935	0.0	0.128083491461	0.687177017806	39.037037037	0.0	-1	0.128083491461	1054	2.330	180212	0.0	-1.3591	2	0.153846153846	87319	0.532544378698	0	0	-0.230769230769	-0.218484	0.0	2	3	0.000	0.729756383116	2.07692307692	0.230769230769	-30.000	0.000	-7.904	0.000	0.000	0.000	-133.044	2.120	0.080	0.153846153846	0.512735028538	141	0.0	0.307692307692	27	0	0.307692307692	0.28058586586	-2.99365720545	0.153846153846	0.770	0.349280026571	0.0769230769231	0.430	-0.79599	0.0	0.0	0	-0.694869923077	-3.28558688039	-3.98919	0.0	0.2	0.157495256167	2	-2.63578692308	0.230769230769	0	0.000	0.39	211	0.840	0.575639597965	0	0.538461538462	0.200189753321	-8.783	0.36	0.512916358787	0.000	0.0	0	0.121996536962	0.000	0.828961409117	3	135	1	0.03	13	
0	0.0	25	138	0.000	-129.823	0	-1.28178217579	-4.92671552138	2	-13.256	-26.537	-39.069	-55.024	13.999	1.66666666667	0.68115552138	0.0	0.124590163934	0.62771429306	36.6	0.04	-1	0.124590163934	916	3.010	174095	0.28	-2.08895	1	0.0666666666667	85203	0.728888888889	0	0	0.0666666666667	0.0	0.0	1	1	0.000	0.853749898324	1.73333333333	0.0666666666667	-25.000	-100.000	-11.570	0.000	0.000	0.000	-120.371	2.710	0.020	0.133333333333	0.511933945354	116	0.28	0.2	26	0	0.2	0.28201203641	-2.88888278821	0.0666666666667	1.450	0.554964853695	0.733333333333	0.340	0.0396938	0.0	0.28	0	-0.706194466667	-3.25581394535	-3.07528	0.0	0.12	0.150819672131	2	-2.04699241333	0.666666666667	0	0.000	0.33	170	0.900	0.853749898324	1	0.466666666667	0.185792349727	-10.254	0.53	0.551028148434	0.000	0.0	0	0.307985988837	0.000	0.792284224922	3	114	1	0.0	15	
0	0.0	11	47	0.000	-14.264	0	-1.21923326094	-4.29601186063	0	-13.912	-15.855	-9.620	-15.503	6.999	1.57142857143	0.525284587902	0.0	0.11875	0.154916417449	29.0909090909	0.0	0	0.11875	320	0.640	70058	0.0	-0.716506	1	0.142857142857	32602	0.244897959184	0	0	0.0	-0.218914	0.0	2	1	0.000	0.494871659305	1.57142857143	0.142857142857	-11.000	0.000	-1.346	0.000	-1.366	-3.971	-63.935	0.580	0.010	0.142857142857	0.460206003281	36	0.0	0.857142857143	11	0	0.571428571429	0.218178922267	-2.8108627445	0.285714285714	0.120	0.170300895154	0.714285714286	0.140	-1.72421	0.0	0.0	0	-0.541319142857	-2.81666054874	-2.83775	0.0	0.24	0.146875	1	-2.14563285714	0.142857142857	0	-12.000	0.52	50	0.300	0.0	0	0.142857142857	0.15625	-0.820	0.21	0.292403596528	0.000	0.0	0	0.0290023948904	0.000	0.393594229441	2	38	1	0.01	7	
0	0.0	54	315	0.000	-165.416	0	-1.30396561747	-4.6507200272	3	-50.512	-72.291	-69.835	-115.458	30.997	1.6875	0.580720027204	0.0	0.131219512195	0.770114788335	37.2727272727	0.0185185185185	-1	0.131219512195	2051	5.010	380766	0.777777777778	-2.21915	4	0.125	182933	1.25	0	0	0.0625	0.0	0.0	6	6	0.000	1.11803398875	1.75	0.1875	-54.000	-100.000	-8.227	-4.710	-7.623	-8.965	-270.406	4.450	0.190	0.21875	0.469889689686	296	0.777777777778	0.78125	56	0	0.78125	0.238940362552	-2.93786192325	0.1875	1.170	0.483253195373	0.21875	0.820	0.0396938	0.0	0.777777777778	1	-0.6819790625	-3.00572605332	-3.85997	0.0	0.18	0.153658536585	7	-2.2357032875	0.59375	0	-32.000	0.51	320	2.270	0.788095013307	1	0.625	0.156097560976	-6.913	0.26	0.369141099256	0.000	0.0	0	0.233533650838	-13.140	0.877561843026	5	269	1	0.04	32	
0	0.0	14	72	0.000	-22.588	0	-1.35068509142	-4.23521908984	1	-14.014	-15.214	-36.327	-35.190	10.999	1.27272727273	0.514152423174	0.0	0.129198966408	0.428127187633	25.8	0.0	-1	0.129198966408	387	1.010	102521	0.0	-2.06049	3	0.272727272727	41239	0.413223140496	0	0	0.0909090909091	-0.252047	0.0	1	1	0.000	0.642824346533	1.36363636364	0.0909090909091	-14.000	0.000	-2.641	-1.299	-1.132	-1.004	-83.881	0.910	0.050	0.181818181818	0.471388442177	49	0.0	0.0	15	0	0.181818181818	0.239594627787	-2.87972936853	0.0909090909091	0.230	0.585293510297	0.363636363636	0.250	-1.14817	0.0	0.0	1	-0.858448363636	-2.81558844218	-2.9904	0.0	0.27	0.186046511628	2	-2.21013818182	0.909090909091	0	-4.000	0.41	58	0.380	0.514259477227	0	0.454545454545	0.149870801034	-2.515	0.25	0.299567593112	0.000	0.0	0	0.342568493196	-3.312	0.654314288116	3	50	1	0.05	11	
0	0.0	15	94	0.000	-22.891	0	-1.32447303927	-4.73475963917	2	-15.103	-24.004	-33.584	-46.545	9.999	1.5	0.596481861394	0.0	0.135363790186	1.04738863778	32.8333333333	0.0	-1	0.135363790186	591	1.150	117543	0.0	-2.70623	2	0.2	52734	0.56	0	0	0.3	-0.143406	0.0	3	1	0.000	0.748331477355	1.8	0.1	-15.000	0.000	-5.002	-2.274	-0.681	-1.845	-83.346	1.020	0.050	0.1	0.50508536448	78	0.0	0.9	18	0	0.9	0.282371640654	-2.88891887411	0.3	0.210	0.756978743865	0.8	0.230	-0.77908	0.0	0.0	1	-0.9163039	-3.1208075867	-3.59964	0.0	0.22	0.159052453469	1	-2.3267029	0.4	0	-8.000	0.51	80	0.530	0.9	0	0.1	0.135363790186	-5.983	0.2	0.410774995178	0.000	0.0	0	0.573016818663	-6.416	1.02342006907	3	80	1	0.04	10	
0	0.0	8	43	0.000	-7.351	0	-1.42585951928	-5.83641494292	0	-10.561	-19.781	-12.944	-27.331	3.000	2.66666666667	0.822414942916	0.0	0.115384615385	0.581373552267	33.4285714286	0.0	-1	0.115384615385	234	0.500	43238	0.0	-2.31225	1	0.333333333333	16792	0.888888888889	0	0	-0.333333333333	-0.729732	0.0	1	0	0.000	0.942809041582	2.33333333333	0.0	-8.000	0.000	-1.952	0.000	0.000	0.000	-22.005	0.440	0.020	0.333333333333	0.589482739493	29	0.0	0.333333333333	7	0	0.333333333333	0.370217752152	-3.00810847969	0.333333333333	0.130	0.696616479087	0.0	0.050	-2.49143	0.0	0.0	0	-1.336762	-3.53219702521	-4.35337	0.0	0.11	0.183760683761	1	-3.46465	0.0	0	0.000	0.54	35	0.240	0.471404520791	0	0.0	0.149572649573	-1.510	0.29	0.734721275354	0.000	0.333333333333	0	0.485274518936	0.000	0.762478558562	3	27	1	0.04	3	
0	0.0	27	116	0.000	-134.948	0	-1.30730609007	-4.94959866494	1	-24.158	-31.131	-50.811	-61.368	16.998	1.5	0.663634379229	0.0	0.13567839196	0.605904339567	28.4285714286	0.037037037037	-1	0.13567839196	797	1.790	194296	0.703703703704	-3.10035	2	0.111111111111	91141	0.348765432099	0	0	0.111111111111	0.0	0.0	1	1	0.000	0.590563656263	1.61111111111	0.0555555555556	-27.000	-100.000	-4.057	0.000	-3.048	-3.259	-133.629	1.600	0.070	0.111111111111	0.461068293759	107	0.703703703704	0.611111111111	29	0	0.611111111111	0.230425963424	-3.05666886755	0.0555555555556	0.180	0.731587513095	0.388888888889	0.400	0.0396938	0.0	0.703703703704	0	-0.774868888889	-2.8572111509	-3.89094	0.0	0.25	0.145728643216	2	-2.24326756667	0.388888888889	0	-10.000	0.59	132	0.950	0.458122847291	1	0.333333333333	0.165829145729	-3.996	0.11	0.518457263106	0.000	0.0	0	0.535220289316	0.000	0.778398573718	3	108	1	0.04	18	
0	0.0	31	82	0.000	-737.677	0	-1.2389956253	-4.41446206013	0	-20.342	-29.627	-30.728	-37.926	14.998	1.40909090909	0.586507514677	31.1020408163	0.144975288303	1.22537984488	27.5909090909	0.225806451613	-2	0.144975288303	614	1.770	190832	0.741935483871	-0.966241	7	0.318181818182	91920	0.398760330579	0	0	-0.0909090909091	0.0	5.57692037027	3	7	0.000	0.631474726793	1.31818181818	0.318181818182	-31.000	-700.000	-4.040	0.000	-4.004	-3.712	-179.140	1.460	0.110	0.136363636364	0.413697737482	91	0.129032258065	0.0909090909091	29	0	0.0909090909091	0.182182025077	-2.85074021909	0.136363636364	0.170	0.34572243023	0.727272727273	0.250	0.0396938	0.0	0.497695852535	1	-0.426654772727	-2.64774319203	-3.16838	0.0	0.17	0.135090609555	3	-1.42005515455	0.136363636364	0	-16.000	0.63	106	0.930	0.416597790451	7	0.727272727273	0.174629324547	-5.392	0.11	0.399656782901	0.000	0.0454545454545	0	0.119523998764	-4.139	1.10696876418	3	88	1	0.07	22	
0	0.0	34	153	0.000	-39.347	0	-1.34064817282	-4.74633480394	2	-32.266	-50.174	-35.880	-58.809	18.998	1.78947368421	0.660940864544	0.0	0.134134134134	0.752989816068	30.2727272727	0.0	-1	0.134134134134	999	2.840	225301	0.0	-1.69271	3	0.157894736842	99735	0.825484764543	0	0	0.0	-0.181505	0.0	3	4	0.000	0.908561921139	1.73684210526	0.210526315789	-34.000	0.000	-10.568	0.000	0.000	0.000	-175.961	2.500	0.110	0.210526315789	0.503538268597	134	0.0	0.526315789474	33	0	0.526315789474	0.277195875919	-2.98080797478	0.157894736842	0.740	0.361781592501	0.105263157895	0.460	-0.838999	0.0	0.0	0	-0.633928210526	-3.08168978375	-4.20628	0.0	0.18	0.153153153153	4	-2.29435463158	0.947368421053	0	0.000	0.47	192	1.190	0.648885684523	0	0.947368421053	0.192192192192	-10.706	0.29	0.49908755197	0.000	0.0526315789474	0	0.130885920672	0.000	0.867749858005	4	134	1	0.04	19	
